Waktu,PM10,SO2,CO,O3,NO2,Critical Component
6 Juni 2021,48,0,11,0,7,PM10
7 Juni 2021,31,0,13,0,7,PM10
8 Juni 2021,26,0,14,0,5,PM10
9 Juni 2021,19,0,7,0,4,PM10
10 Juni 2021,20,0,6,0,6,PM10
11 Juni 2021,24,0,7,0,7,PM10
12 Juni 2021,9,0,7,0,8,PM10
13 Juni 2021,0,0,13,0,9,CO
14 Juni 2021,20,0,12,0,10,PM10
15 Juni 2021,38,0,11,0,7,PM10
16 Juni 2021,35,0,12,0,7,PM10
17 Juni 2021,19,0,16,0,7,PM10
18 Juni 2021,28,0,22,0,9,PM10
19 Juni 2021,27,0,19,0,8,PM10
20 Juni 2021,27,0,12,0,9,PM10
21 Juni 2021,31,0,16,0,10,PM10
22 Juni 2021,29,0,19,0,7,PM10
23 Juni 2021,20,0,19,0,6,PM10
24 Juni 2021,28,0,17,0,6,PM10
25 Juni 2021,23,0,13,0,4,PM10
26 Juni 2021,23,0,8,0,6,PM10
27 Juni 2021,32,0,7,0,7,PM10
28 Juni 2021,33,0,12,0,8,PM10
29 Juni 2021,22,0,14,0,5,PM10
30 Juni 2021,41,0,14,0,7,PM10
1 Juli 2021,35,0,11,0,5,PM10
2 Juli 2021,34,0,13,0,5,PM10
3 Juli 2021,33,0,12,0,5,PM10
4 Juli 2021,27,0,7,0,5,PM10
6 Juli 2021,16,0,13,0,3,PM10
7 Juli 2021,23,0,13,0,4,PM10
8 Juli 2021,24,0,11,0,4,PM10
9 Juli 2021,28,0,13,0,3,PM10
10 Juli 2021,26,0,12,0,3,PM10
11 Juli 2021,22,0,6,0,4,PM10
12 Juli 2021,23,0,9,0,5,PM10
13 Juli 2021,21,0,8,0,3,PM10
14 Juli 2021,17,0,7,0,3,PM10
15 Juli 2021,17,0,6,0,4,PM10
16 Juli 2021,20,0,10,0,4,PM10
17 Juli 2021,32,0,14,0,4,PM10
18 Juli 2021,31,0,9,0,4,PM10
19 Juli 2021,27,0,10,0,4,PM10
20 Juli 2021,34,0,10,0,4,PM10
21 Juli 2021,32,0,5,0,5,PM10
22 Juli 2021,26,0,5,0,4,PM10
23 Juli 2021,23,0,5,0,3,PM10
24 Juli 2021,16,0,4,0,4,PM10
25 Juli 2021,18,0,3,0,4,PM10
26 Juli 2021,28,0,9,0,4,PM10
27 Juli 2021,25,0,9,0,4,PM10
28 Juli 2021,18,0,5,0,4,PM10
29 Juli 2021,19,0,5,0,3,PM10
30 Juli 2021,22,0,6,0,3,PM10
31 Juli 2021,19,0,4,0,2,PM10
1 Agustus 2021,11,0,1,0,3,PM10
2 Agustus 2021,9,0,5,0,3,PM10
3 Agustus 2021,8,0,5,0,2,PM10
4 Agustus 2021,14,0,6,0,2,PM10
5 Agustus 2021,19,0,7,0,4,PM10
6 Agustus 2021,28,0,7,0,4,PM10
7 Agustus 2021,32,0,3,0,3,PM10
8 Agustus 2021,48,0,3,0,4,PM10
9 Agustus 2021,40,0,8,0,5,PM10
10 Agustus 2021,25,0,8,0,3,PM10
11 Agustus 2021,16,0,5,0,3,PM10
12 Agustus 2021,21,0,4,0,4,PM10
13 Agustus 2021,18,0,4,0,3,PM10
14 Agustus 2021,19,0,2,0,2,PM10
15 Agustus 2021,20,0,3,0,3,PM10
16 Agustus 2021,20,0,5,0,3,PM10
17 Agustus 2021,18,0,5,0,3,PM10
18 Agustus 2021,17,0,1,0,3,PM10
19 Agustus 2021,16,0,1,0,4,PM10
20 Agustus 2021,10,0,4,0,3,PM10
21 Agustus 2021,11,0,4,0,3,PM10
22 Agustus 2021,11,0,1,0,2,PM10
23 Agustus 2021,17,0,2,0,3,PM10
24 Agustus 2021,19,0,5,0,4,PM10
25 Agustus 2021,13,0,4,0,3,PM10
26 Agustus 2021,13,0,8,0,3,PM10
27 Agustus 2021,14,0,8,0,3,PM10
28 Agustus 2021,15,0,10,0,3,PM10
29 Agustus 2021,21,0,12,0,3,PM10
30 Agustus 2021,17,0,8,0,4,PM10
31 Agustus 2021,17,0,9,0,4,PM10
1 September 2021,20,0,7,5,4,PM10
2 September 2021,14,0,9,0,3,PM10
3 September 2021,9,0,8,0,3,PM10
4 September 2021,14,0,9,0,3,PM10
5 September 2021,17,0,8,0,4,PM10
6 September 2021,20,0,9,0,4,PM10
7 September 2021,21,0,9,0,3,PM10
8 September 2021,15,0,8,0,2,PM10
9 September 2021,12,0,8,0,4,PM10
10 September 2021,19,59,8,0,6,SO2
11 September 2021,19,51,7,17,7,SO2
12 September 2021,16,63,9,52,7,SO2
13 September 2021,18,62,14,51,6,SO2
14 September 2021,22,28,12,26,6,SO2
15 September 2021,17,1,10,6,5,PM10
16 September 2021,16,5,10,22,6,O3
17 September 2021,17,4,10,15,5,PM10
18 September 2021,21,1,11,13,6,PM10
19 September 2021,21,4,11,28,6,O3
20 September 2021,13,4,6,27,7,O3
21 September 2021,15,1,10,12,5,PM10
22 September 2021,19,1,13,11,6,PM10
23 September 2021,21,6,10,32,7,O3
24 September 2021,21,6,9,32,8,O3
25 September 2021,24,0,10,10,7,PM10
26 September 2021,23,0,9,10,7,PM10
27 September 2021,17,1,8,19,8,O3
28 September 2021,12,1,6,11,6,PM10
29 September 2021,16,0,7,0,5,PM10
30 September 2021,20,0,7,5,4,PM10
1 Oktober 2021,19,2,7,17,4,PM10
2 Oktober 2021,17,16,8,54,4,O3
3 Oktober 2021,13,24,5,69,5,O3
4 Oktober 2021,12,27,9,68,6,O3
5 Oktober 2021,16,16,10,21,5,O3
6 Oktober 2021,12,5,7,33,4,O3
7 Oktober 2021,9,6,8,39,6,O3
8 Oktober 2021,14,4,8,24,6,O3
9 Oktober 2021,13,1,6,14,4,O3
10 Oktober 2021,12,15,5,47,4,O3
11 Oktober 2021,12,25,6,53,5,O3
12 Oktober 2021,14,15,6,14,5,SO2
13 Oktober 2021,13,5,6,23,4,O3
14 Oktober 2021,12,5,6,26,4,O3
15 Oktober 2021,15,13,8,47,5,O3
16 Oktober 2021,15,11,8,41,5,O3
17 Oktober 2021,18,21,10,61,6,O3
18 Oktober 2021,23,23,10,62,7,O3
19 Oktober 2021,22,21,14,19,7,PM10
20 Oktober 2021,22,6,13,17,5,PM10
21 Oktober 2021,16,0,8,3,5,PM10
22 Oktober 2021,12,0,7,1,4,PM10
23 Oktober 2021,12,0,7,4,5,PM10
24 Oktober 2021,12,0,7,6,5,PM10
25 Oktober 2021,12,0,8,6,6,PM10
26 Oktober 2021,14,0,8,2,5,PM10
27 Oktober 2021,14,0,13,3,5,PM10
28 Oktober 2021,14,0,15,10,7,CO
29 Oktober 2021,14,0,13,6,6,PM10
30 Oktober 2021,16,0,16,0,1,PM10
31 Oktober 2021,16,0,16,0,0,PM10
1 November 2021,17,0,23,0,4,CO
2 November 2021,23,0,27,0,7,CO
3 November 2021,17,0,17,0,7,PM10
4 November 2021,15,0,17,0,6,CO
5 November 2021,16,0,13,0,6,PM10
6 November 2021,19,0,13,1,6,PM10
7 November 2021,19,0,14,2,9,PM10
8 November 2021,17,0,18,2,10,CO
9 November 2021,12,0,10,15,6,O3
10 November 2021,10,24,9,34,5,O3
11 November 2021,5,11,17,72,4,O3
12 November 2021,10,0,24,77,5,O3
13 November 2021,7,5,28,65,5,O3
14 November 2021,9,12,23,46,5,O3
15 November 2021,10,8,23,35,3,O3
16 November 2021,12,8,24,35,3,O3
17 November 2021,9,0,21,41,2,O3
18 November 2021,9,0,20,41,3,O3
19 November 2021,10,0,20,41,2,O3
21 November 2021,23,0,25,27,2,O3
22 November 2021,38,0,23,26,2,PM10
23 November 2021,30,28,26,24,2,PM10
24 November 2021,12,48,23,29,1,SO2
25 November 2021,11,46,18,40,1,SO2
26 November 2021,10,36,17,46,1,O3
27 November 2021,9,45,21,42,1,SO2
28 November 2021,11,48,22,28,1,SO2
29 November 2021,32,51,23,26,1,SO2
30 November 2021,45,37,20,35,1,PM10
1 Desember 2021,28,25,19,45,0,O3
2 Desember 2021,44,25,18,44,0,PM10
3 Desember 2021,24,20,16,40,0,O3
7 Desember 2021,19,22,20,35,0,O3
8 Desember 2021,29,23,21,29,1,PM10
9 Desember 2021,28,16,16,31,1,O3
10 Desember 2021,19,11,21,19,2,CO
11 Desember 2021,17,9,21,7,1,CO
12 Desember 2021,17,3,16,12,1,PM10
13 Desember 2021,17,4,18,9,2,CO
14 Desember 2021,17,6,19,3,2,CO
15 Desember 2021,17,8,21,1,2,CO
16 Desember 2021,17,10,23,2,4,CO
17 Desember 2021,14,15,21,9,10,CO
18 Desember 2021,12,14,21,10,11,CO
19 Desember 2021,15,24,25,7,11,CO
20 Desember 2021,14,21,23,4,12,CO
21 Desember 2021,42,21,26,4,11,PM10
22 Desember 2021,51,20,25,1,11,PM10
23 Desember 2021,30,10,20,5,11,PM10
24 Desember 2021,14,14,22,6,11,CO
25 Desember 2021,14,20,26,5,11,CO
26 Desember 2021,24,13,20,3,11,PM10
27 Desember 2021,26,10,18,2,11,PM10
28 Desember 2021,32,13,21,1,11,PM10
29 Desember 2021,32,12,21,1,11,PM10
30 Desember 2021,10,11,21,3,12,CO
31 Desember 2021,18,10,21,3,11,CO
