Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
1 Januari 2024,19.0,48.8,0.0,11.0,56.4,0.0,0.7,O3
2 Januari 2024,18.1,49.2,0.0,11.0,56.2,0.0,1.8,O3
3 Januari 2024,17.0,47.0,0.0,11.0,56.0,0.0,2.0,O3
23 Januari 2024,2.6,7.0,0.0,0.4,0.0,0.0,0.0,PM2.5
24 Januari 2024,10.3,27.0,0.0,3.1,0.0,0.0,0.0,PM2.5
25 Januari 2024,16.5,43.2,0.0,10.4,0.0,0.0,0.0,PM2.5
26 Januari 2024,19.3,51.8,0.0,11.0,11.5,0.0,0.0,PM2.5
27 Januari 2024,18.4,49.5,0.0,10.8,33.5,0.0,0.0,PM2.5
28 Januari 2024,17.7,47.0,0.0,10.3,31.5,0.0,0.0,PM2.5
29 Januari 2024,14.6,40.6,0.0,9.1,28.8,0.0,0.0,PM2.5
30 Januari 2024,17.3,47.1,0.0,11.5,33.6,0.0,0.0,PM2.5
31 Januari 2024,14.3,37.3,0.0,11.1,38.2,0.0,0.0,PM2.5
1 Februari 2024,14.0,37.2,0.0,10.2,43.3,0.0,0.0,O3
2 Februari 2024,15.6,41.9,0.0,10.3,37.8,0.0,0.0,PM2.5
3 Februari 2024,16.0,42.4,0.0,10.9,43.7,0.0,0.0,O3
4 Februari 2024,12.5,32.6,0.0,9.9,32.4,0.0,0.0,PM2.5
5 Februari 2024,15.2,41.8,0.0,10.3,38.6,0.0,0.0,PM2.5
6 Februari 2024,16.2,43.5,0.0,10.6,35.6,0.0,0.0,PM2.5
7 Februari 2024,15.7,43.2,0.0,10.6,43.4,0.0,0.0,O3
8 Februari 2024,16.0,42.5,0.0,11.0,47.5,0.0,0.0,O3
9 Februari 2024,15.2,41.3,0.0,10.4,45.5,0.0,0.0,O3
10 Februari 2024,15.2,40.2,0.0,10.8,40.0,0.0,0.0,PM2.5
11 Februari 2024,15.6,40.9,0.0,10.2,44.7,0.0,0.0,O3
12 Februari 2024,16.2,42.8,0.0,10.9,35.3,0.0,0.0,PM2.5
13 Februari 2024,15.5,41.4,0.0,11.1,38.5,0.0,0.0,PM2.5
14 Februari 2024,15.8,42.2,0.0,10.9,42.3,0.0,0.0,PM2.5
15 Februari 2024,14.6,38.2,0.0,10.5,34.0,0.0,0.0,PM2.5
16 Februari 2024,15.6,42.3,0.0,11.1,43.6,0.0,0.0,O3
17 Februari 2024,15.3,40.9,0.0,10.5,43.3,0.0,0.0,O3
18 Februari 2024,15.7,40.7,0.0,11.0,42.1,0.0,0.0,O3
