Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
06 Desember 2022,11.0,34.5,21.5,15.4,18.8,29.8,0.0,PM2.5
07 Desember 2022,12.0,41.9,23.0,15.4,17.9,30.3,0.0,PM2.5
08 Desember 2022,10.6,35.6,24.6,14.6,19.5,29.2,0.0,PM2.5
09 Desember 2022,12.4,42.4,23.4,15.7,18.1,30.3,0.0,PM2.5
10 Desember 2022,13.0,40.2,23.2,15.6,18.8,30.1,0.0,PM2.5
11 Desember 2022,11.6,37.3,19.5,13.6,23.1,26.5,0.0,PM2.5
12 Desember 2022,11.9,40.2,20.6,15.4,19.7,30.1,0.0,PM2.5
13 Desember 2022,13.2,46.9,22.0,16.0,19.7,31.2,0.0,PM2.5
14 Desember 2022,16.3,55.1,22.3,17.5,18.1,32.8,0.0,PM2.5
15 Desember 2022,18.2,60.1,22.3,19.2,16.8,34.4,0.0,PM2.5
16 Desember 2022,17.3,57.1,24.4,17.9,18.1,33.0,0.0,PM2.5
17 Desember 2022,17.1,55.1,24.4,17.6,18.4,32.3,0.0,PM2.5
18 Desember 2022,14.8,47.4,21.6,15.4,21.5,29.6,0.0,PM2.5
19 Desember 2022,16.6,54.0,23.5,20.5,22.7,31.4,14.7,PM2.5
20 Desember 2022,21.6,60.6,23.4,21.1,21.9,32.5,15.1,PM2.5
22 Desember 2022,9.3,34.5,17.5,14.4,29.8,38.0,6.6,PM2.5
23 Desember 2022,7.2,27.2,15.5,15.5,23.0,37.9,12.3,PM2.5
24 Desember 2022,12.2,42.6,14.8,16.5,23.0,39.9,13.6,PM2.5
25 Desember 2022,17.0,54.3,16.3,18.9,26.0,41.9,14.2,PM2.5
26 Desember 2022,18.0,55.8,19.4,22.1,20.6,40.2,0.0,PM2.5
27 Desember 2022,11.8,42.6,21.8,23.1,12.6,36.3,0.0,PM2.5
28 Desember 2022,13.1,49.4,23.5,22.5,14.0,37.0,35.3,PM2.5
30 Desember 2022,26.4,67.2,24.2,21.3,1.2,40.3,15.4,PM2.5
31 Desember 2022,27.4,68.5,17.8,16.3,3.3,41.3,14.8,PM2.5
