Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
20 Maret 2022,14.5,0.0,12.5,11.5,11.5,9.3,6.8,PM10
21 Maret 2022,15.9,0.0,12.2,12.5,10.9,9.5,6.5,PM10
22 Maret 2022,19.3,0.0,11.8,12.7,10.6,9.7,6.4,PM10
23 Maret 2022,16.2,0.0,11.6,13.2,10.3,10.0,6.5,PM10
24 Maret 2022,15.9,0.0,11.8,13.1,10.5,10.2,6.5,PM10
25 Maret 2022,19.0,0.0,10.9,13.2,10.8,10.5,6.6,PM10
26 Maret 2022,20.5,0.0,11.2,12.7,10.5,10.5,6.8,PM10
27 Maret 2022,14.1,0.0,11.5,11.3,11.0,9.7,6.7,PM10
28 Maret 2022,20.5,0.0,10.9,12.2,11.2,9.6,6.3,PM10
29 Maret 2022,20.0,0.0,10.0,12.5,10.3,10.3,6.4,PM10
30 Maret 2022,12.2,0.0,10.3,12.0,10.8,9.7,6.9,CO
31 Maret 2022,14.1,0.0,10.4,12.7,10.2,10.5,6.8,PM10
01 April 2022,14.1,0.0,9.6,12.3,10.9,10.6,6.8,PM10
02 April 2022,16.9,0.0,9.6,11.6,11.6,9.6,6.9,PM10
03 April 2022,14.1,0.0,9.1,11.6,12.3,8.7,6.8,PM10
04 April 2022,16.9,0.0,9.2,12.7,12.7,9.6,7.5,PM10
05 April 2022,20.1,0.0,9.9,12.9,10.9,10.3,8.1,PM10
06 April 2022,23.3,0.0,9.5,13.2,11.0,10.5,8.1,PM10
07 April 2022,19.6,0.0,8.7,13.2,11.0,10.2,7.7,PM10
08 April 2022,18.0,0.0,10.3,13.1,11.3,10.5,7.7,PM10
09 April 2022,14.0,0.0,9.5,12.5,11.3,10.0,7.4,PM10
10 April 2022,17.7,0.0,9.7,12.5,12.1,9.6,7.7,PM10
11 April 2022,20.0,0.0,8.7,13.1,10.8,10.6,8.6,PM10
12 April 2022,16.3,0.0,8.1,13.4,11.8,10.5,9.0,PM10
13 April 2022,16.0,0.0,9.2,12.5,11.5,9.6,8.1,PM10
14 April 2022,23.0,0.0,9.5,13.2,11.5,10.6,8.8,PM10
15 April 2022,16.2,0.0,8.5,12.7,12.2,9.6,8.1,PM10
16 April 2022,16.7,0.0,8.9,12.7,12.2,10.0,8.4,PM10
17 April 2022,15.7,0.0,8.7,12.3,12.7,10.2,8.4,PM10
18 April 2022,18.4,0.0,9.5,13.4,11.5,11.0,8.7,PM10
19 April 2022,19.3,0.0,9.2,13.6,12.2,11.0,9.2,PM10
20 April 2022,14.0,0.0,10.0,13.4,12.2,10.9,9.0,PM10
21 April 2022,12.8,0.0,9.9,13.1,12.2,10.5,8.8,CO
22 April 2022,16.3,0.0,9.1,13.2,12.5,10.6,9.1,PM10
23 April 2022,16.7,0.0,9.3,13.1,12.1,10.5,9.0,PM10
24 April 2022,16.4,0.0,8.7,13.1,13.1,10.6,8.8,PM10
25 April 2022,15.2,0.0,9.9,13.2,12.7,10.5,8.9,PM10
26 April 2022,17.4,0.0,9.3,14.3,12.2,11.3,9.5,PM10
27 April 2022,23.2,0.0,8.5,14.1,12.2,11.5,9.6,PM10
28 April 2022,23.1,0.0,10.0,14.5,12.2,11.5,10.1,PM10
29 April 2022,20.0,0.0,9.7,14.1,12.9,10.9,9.3,PM10
30 April 2022,18.9,0.0,10.5,14.3,12.7,10.8,9.5,PM10
01 Mei 2022,17.2,0.0,11.5,13.4,13.1,9.6,9.2,PM10
02 Mei 2022,18.0,0.0,11.5,13.4,13.2,9.3,9.5,PM10
03 Mei 2022,16.8,0.0,12.2,13.1,13.6,9.0,9.1,PM10
04 Mei 2022,16.7,0.0,11.3,14.1,13.4,9.6,9.3,PM10
05 Mei 2022,21.9,0.0,11.0,14.3,12.7,10.0,9.5,PM10
06 Mei 2022,20.1,0.0,11.0,14.5,12.7,10.3,9.7,PM10
07 Mei 2022,24.3,0.0,10.3,14.3,12.7,10.5,9.6,PM10
08 Mei 2022,21.0,0.0,11.5,14.5,13.6,10.3,9.9,PM10
09 Mei 2022,23.4,0.0,11.5,15.5,13.4,11.3,11.2,PM10
10 Mei 2022,22.0,0.0,12.3,15.2,13.6,10.9,11.5,PM10
11 Mei 2022,20.6,0.0,11.5,15.2,13.1,11.0,11.5,PM10
12 Mei 2022,21.4,0.0,11.5,15.3,13.8,10.9,11.5,PM10
13 Mei 2022,19.2,0.0,12.7,15.5,13.6,11.0,11.7,PM10
14 Mei 2022,19.9,0.0,11.9,15.2,13.4,10.8,11.5,PM10
15 Mei 2022,20.8,0.0,11.2,14.6,13.8,9.7,11.2,PM10
16 Mei 2022,21.2,0.0,12.6,15.7,13.8,10.8,11.7,PM10
17 Mei 2022,23.0,0.0,12.6,16.5,13.6,11.6,12.4,PM10
18 Mei 2022,19.0,0.0,12.9,15.8,13.8,11.0,12.3,PM10
19 Mei 2022,25.2,0.0,13.4,16.9,13.4,12.4,12.9,PM10
20 Mei 2022,23.1,0.0,13.6,17.4,13.8,12.5,13.6,PM10
21 Mei 2022,21.2,0.0,13.2,17.7,14.0,12.3,13.6,PM10
22 Mei 2022,20.2,0.0,12.9,16.9,14.0,11.2,12.9,PM10
23 Mei 2022,21.7,0.0,13.1,17.9,13.8,12.4,13.7,PM10
24 Mei 2022,24.0,0.0,13.1,17.6,14.1,12.7,13.9,PM10
25 Mei 2022,25.4,0.0,12.9,18.0,13.8,12.9,14.0,PM10
26 Mei 2022,20.6,0.0,14.1,17.4,14.5,11.8,13.4,PM10
27 Mei 2022,22.0,0.0,14.1,17.6,14.3,12.4,13.6,PM10
28 Mei 2022,23.7,0.0,13.2,17.6,14.3,12.1,13.5,PM10
29 Mei 2022,17.5,0.0,13.8,16.5,15.2,11.2,12.8,PM10
30 Mei 2022,17.1,0.0,14.5,17.3,14.1,12.1,13.0,CO
31 Mei 2022,25.3,0.0,13.6,18.2,14.1,12.7,13.8,PM10
01 Juni 2022,24.6,0.0,13.1,17.4,14.3,12.4,13.3,PM10
02 Juni 2022,21.8,0.0,14.8,17.3,14.3,12.3,13.3,PM10
03 Juni 2022,26.4,0.0,13.8,17.4,14.6,12.7,13.5,PM10
04 Juni 2022,25.5,0.0,13.6,17.3,14.8,12.2,13.3,PM10
05 Juni 2022,24.0,0.0,13.4,16.9,15.2,11.8,12.7,PM10
06 Juni 2022,23.3,0.0,13.8,17.6,14.6,12.5,13.1,PM10
07 Juni 2022,24.8,0.0,14.3,18.3,14.5,13.0,13.6,PM10
08 Juni 2022,23.2,0.0,14.1,17.9,14.3,12.9,13.4,PM10
09 Juni 2022,21.6,0.0,14.8,18.0,14.5,12.7,13.3,PM10
10 Juni 2022,21.1,0.0,15.1,17.6,14.3,12.7,13.1,PM10
11 Juni 2022,19.3,0.0,15.1,17.6,14.1,12.5,13.0,PM10
12 Juni 2022,19.3,0.0,14.8,16.3,15.2,11.3,12.1,PM10
13 Juni 2022,21.6,0.0,14.5,17.3,15.0,12.4,12.8,PM10
14 Juni 2022,21.6,0.0,14.5,17.6,14.5,12.9,13.1,PM10
15 Juni 2022,20.0,0.0,14.8,17.3,14.1,12.5,12.9,PM10
16 Juni 2022,21.1,0.0,14.5,17.0,14.1,12.5,12.8,PM10
17 Juni 2022,19.3,0.0,15.0,17.6,14.1,12.9,13.2,PM10
18 Juni 2022,17.9,0.0,15.2,16.9,14.3,12.2,12.7,PM10
19 Juni 2022,19.3,0.0,14.5,16.2,14.6,11.5,12.1,PM10
20 Juni 2022,17.9,0.0,14.5,16.9,14.1,12.3,12.6,PM10
21 Juni 2022,20.0,0.0,14.1,16.3,14.3,12.2,12.3,PM10
22 Juni 2022,20.7,0.0,13.8,16.9,14.1,12.4,12.7,PM10
23 Juni 2022,18.0,0.0,14.3,16.5,14.1,12.3,12.5,PM10
24 Juni 2022,20.8,0.0,13.6,16.9,14.3,12.5,12.7,PM10
25 Juni 2022,17.9,0.0,14.1,16.3,14.6,12.2,12.5,PM10
26 Juni 2022,20.8,0.0,13.4,15.3,15.0,11.2,11.7,PM10
27 Juni 2022,18.6,0.0,13.4,16.2,14.6,11.8,12.2,PM10
28 Juni 2022,18.6,0.0,13.6,16.0,14.5,12.1,12.2,PM10
29 Juni 2022,18.6,0.0,13.8,16.0,14.3,12.1,12.1,PM10
30 Juni 2022,21.5,0.0,13.2,16.0,14.3,12.2,12.1,PM10
01 Juli 2022,20.8,0.0,13.2,16.5,14.3,12.4,12.3,PM10
02 Juli 2022,23.7,0.0,12.9,16.2,14.5,12.1,12.2,PM10
03 Juli 2022,23.0,0.0,12.5,15.5,15.0,11.3,11.8,PM10
04 Juli 2022,18.6,0.0,12.9,15.8,14.8,11.8,12.0,PM10
05 Juli 2022,21.5,0.0,12.7,16.2,14.6,12.1,12.2,PM10
06 Juli 2022,17.9,0.0,13.4,15.8,14.6,12.1,11.8,PM10
07 Juli 2022,19.3,0.0,12.5,15.8,14.6,12.2,11.9,PM10
08 Juli 2022,18.6,0.0,12.9,16.0,14.8,12.3,12.2,PM10
09 Juli 2022,19.3,0.0,13.2,15.8,14.8,12.2,12.1,PM10
10 Juli 2022,24.4,0.0,12.7,15.3,15.3,11.5,11.7,PM10
11 Juli 2022,21.5,0.0,12.9,16.2,14.8,12.2,12.3,PM10
12 Juli 2022,20.1,0.0,13.2,16.5,14.6,12.4,12.6,PM10
13 Juli 2022,23.0,0.0,13.4,16.5,14.6,12.7,12.7,PM10
14 Juli 2022,24.4,0.0,13.4,16.5,14.3,12.7,12.7,PM10
15 Juli 2022,25.9,0.0,13.6,16.9,14.5,12.9,12.9,PM10
16 Juli 2022,24.4,0.0,13.6,16.3,14.5,12.5,12.6,PM10
17 Juli 2022,25.2,0.0,13.2,15.7,15.2,11.5,12.1,PM10
